MRT_name,Station_code,mrt_start_year,mrt_line_type,mrt_LATITUDE,mrt_LONGITUDE
Promenade,DT15,2013,DT,1.29289175383295,103.860891800025
Bayfront,DT16,2013,DT,1.28187378879209,103.859079764874
Downtown,DT17,2013,DT,1.27944638178916,103.852840829581
Telok Ayer,DT18,2013,DT,1.28206894769394,103.848648781083
Chinatown,DT19,2013,DT,1.28422391919085,103.845143798953
Fort Canning,DT20,2017,DT,1.29248194822996,103.844331362465
Bencoolen,DT21,2017,DT,1.29891843369422,103.850353762717
Jalan Besar,DT22,2017,DT,1.3051713878069,103.855295713435
Bendemeer,DT23,2017,DT,1.31367252847691,103.862977620945
Geylang Bahru,DT24,2017,DT,1.32130110228321,103.871622627142
Mattar,DT25,2017,DT,1.32687671501334,103.883247509542
MacPherson,DT26,2017,DT,1.32615024457361,103.889298600376
Ubi,DT27,2017,DT,1.32997425973974,103.899226655439
Kaki Bukit,DT28,2017,DT,1.33496735995428,103.908459338046
Bedok North,DT29,2017,DT,1.33474211664091,103.91797832995
Bedok Reservoir,DT30,2017,DT,1.33660782955099,103.932234623286
Tampines West,DT31,2017,DT,1.34551530560119,103.938436971222
Tampines,DT32,2017,DT,1.35515041120473,103.943009883131
Tampines East,DT33,2017,DT,1.35619148271544,103.9546344625
Upper Changi,DT34,2017,DT,1.34173977444995,103.961472788634
Expo,DT35,2017,DT,1.33538252614956,103.962374747451
Dhoby Ghaut,CC1,2010,CC,1.29891164362677,103.84629250696
Bras Basah,CC2,2010,CC,1.29686168649656,103.850667371637
Esplanade,CC3,2010,CC,1.2936577245386,103.855081226245
Promenade,CC4,2010,CC,1.29399798636232,103.860350000188
Nicoll Highway,CC5,2010,CC,1.29976684675139,103.86363696572
Stadium,CC6,2010,CC,1.3028124684707,103.875337711089
Mountbatten,CC7,2010,CC,1.30620190525331,103.882528081052
Dakota,CC8,2010,CC,1.30854798388121,103.889064718377
Paya Lebar,CC9,2010,CC,1.3172473854035,103.892260753884
MacPherson,CC10,2010,CC,1.32607760171665,103.890391305725
Tai Seng,CC11,2010,CC,1.33514150139202,103.888389300191
Bartley,CC12,2009,CC,1.34250117805245,103.880177899184
Serangoon,CC13,2009,CC,1.35063361526525,103.872771660431
Lorong Chuan,CC14,2009,CC,1.35161217074555,103.864151938651
Bishan,CC15,2009,CC,1.35131580146658,103.84914026532
Marymount,CC16,2009,CC,1.348707263451,103.839423132332
Caldecott,CC17,2011,CC,1.33767337407828,103.839530785576
Botanic Gardens,CC19,2011,CC,1.32211373558877,103.814984510627
Farrer Road,CC20,2011,CC,1.31743915158967,103.807379214161
Holland Village,CC21,2011,CC,1.31224029631595,103.796399122407
Buona Vista,CC22,2011,CC,1.30663450405,103.790709404436
one-north,CC23,2011,CC,1.29975987493555,103.78745750525
Kent Ridge,CC24,2011,CC,1.29353349887123,103.784572738173
Haw Par Villa,CC25,2011,CC,1.28257135772488,103.781752725064
Pasir Panjang,CC26,2011,CC,1.27621352233766,103.791350313288
Labrador Park,CC27,2011,CC,1.27225417749656,103.802631578766
Telok Blangah,CC28,2011,CC,1.27070647717762,103.809761611219
HarbourFront,CC29,2011,CC,1.26538938374901,103.821530157095
Bayfront,CE1,2012,CC,1.28187378879209,103.859079764874
Marina Bay,CE2,2012,CC,1.27625146423743,103.855447156279
Woodlands North,TE1,2020,TE,1.44829245259621,103.785692682441
Woodlands,TE2,2020,TE,1.43605761708128,103.787938777173
Woodlands South,TE3,2020,TE,1.42739605281442,103.79326432221
